"Rank","Team name","Total score","Det","Asst","G","T","F","Latency","Submissions","Last submission"
"1","Kovalyoff","0.867424","1","0.666667","0.921596","0.996","1.05","80","6","2026-03-12T14:02:54.255238"
"2","KenKo","0.857908","0.971429","0.72","0.921522","0.996","1.0432","904","9","2026-03-12T10:53:50.648083"
"3","PotatoSquad","0.855002","1","0.62","0.941431","0.995","1.0302","1137","6","2026-03-12T21:08:16.394893"
"4","Dmitry Ulybin","0.812989","1","0.6","0.918134","0.994","1.0123","1980","2","2026-03-12T21:20:45.282028"
"5","AiweApps","0.795211","1","0.746667","0.879007","0.995","0.984","2414","3","2026-03-12T18:22:56.260294"
"6","MaxOps AI","0.776052","0.978571","0.726667","0.825789","0.996","1.0449","543","3","2026-03-12T21:46:32.465662"
"7","oNLP fans","0.753713","0.985714","0.673333","0.904631","0.996","0.9378","961","3","2026-03-12T18:45:46.229342"
"8","Tzur Labs","0.74156","0.971429","0.693333","0.800729","0.996","1.0471","347","9","2026-03-12T14:56:17.082289"
"9","StepSolutions","0.735114","0.928571","0.773333","0.83984","0.999","0.9934","2508","3","2026-03-12T00:21:50.964159"
"10","Aivancity","0.722397","0.957143","0.746667","0.775913","0.996","1.0456","578","6","2026-03-13T01:59:58.571195"
"11","IAS Partners","0.715887","0.942857","0.74","0.804099","0.994","1.0155","1714","6","2026-03-12T11:41:44.561384"
"12","Tagir Analyzes","0.703649","0.928571","0.713333","0.787593","0.996","1.0382","937","9","2026-03-12T19:42:20.450439"
"13","SARTECH LABS","0.664165","0.907143","0.653333","0.768406","0.994","1.0464","357","2","2026-03-13T00:00:17.530484"
"14","mlboost","0.65451","0.947619","0.673333","0.727059","0.992","1.0487","676","4","2026-03-13T00:07:32.574889"
"15","RAG Eagles","0.645909","1","0","0.878788","1","1.05","741","4","2026-03-12T16:07:39.386265"
"16","TeamSolo","0.618478","0.914286","0.773333","0.685383","0.996","1.039","907","5","2026-03-12T19:31:31.385473"
"17","ProchiiTeam","0.5981","0.885714","0.606667","0.743008","0.992","1.0118","1786","10","2026-03-12T18:34:25.912086"
"18","RAGdolls","0.592891","0.957143","0.653333","0.654648","0.996","1.05","16","4","2026-03-11T23:32:25.154668"
"19","Neon team","0.591304","0.928571","0.773333","0.647992","1","1.0346","1022","5","2026-03-13T00:29:10.351950"
"20","Chocolate-dipped halva","0.5873","0.857143","0.746667","0.683883","1","1.0422","840","2","2026-03-13T01:23:56.141873"
"21","InTeam","0.53091","0.842857","0.553333","0.714645","0.993","0.9896","2337","8","2026-03-12T23:13:51.767181"
"22","DataBoom","0.513021","0.957143","0.786667","0.66751","0.998","0.85","20179","1","2026-03-11T19:07:16.756323"
"23","Lawnjoyers","0.502421","0.8","0.726667","0.655539","0.981","1.0042","2042","3","2026-03-12T08:16:17.759770"
